Event_id,Restaurant_id,Name,Photo_Url,Event_Title,Start_Date,End_Date
336644,18856789,AIR- An Ivory Region,['https://b.zmtcdn.com/data/zomato_events/photos/46f/1c1651fcd360fe1468cfc06125b1646f_1554705305.jpg'],Dhol Bhangra Night,2019-04-10,2019-04-11
336903,18382360,Local,['https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg'],Urban Saturday,2019-04-13,2019-04-13
336903,18382360,Local,['https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg'],Urban Saturday,2019-04-13,2019-04-13
336903,18382360,Local,['https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg'],Urban Saturday,2019-04-13,2019-04-13
336903,18382360,Local,['https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg'],Urban Saturday,2019-04-13,2019-04-13
336903,18382360,Local,['https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg'],Urban Saturday,2019-04-13,2019-04-13
336622,18466951,Jungle Jamboree,['https://b.zmtcdn.com/data/zomato_events/photos/ffe/96d21e7be18ea0bbc2d7f44496697ffe_1554702984.jpg'],Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
336248,18337893,The Luggage Room Kitchen And Bar,['https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg'],Ladies Night,2019-04-11,2019-04-11
336248,18337893,The Luggage Room Kitchen And Bar,['https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg'],Ladies Night,2019-04-11,2019-04-11
337102,18571735,Dum Laga Ke Haishaa,['https://b.zmtcdn.com/data/zomato_events/photos/42d/5ff1422e615ed8199844db6c6839342d_1554791652.jpg'],Poila Baishak Special,2019-04-14,2019-04-15
337102,18571735,Dum Laga Ke Haishaa,['https://b.zmtcdn.com/data/zomato_events/photos/42d/5ff1422e615ed8199844db6c6839342d_1554791652.jpg'],Poila Baishak Special,2019-04-14,2019-04-15
337102,18571735,Dum Laga Ke Haishaa,['https://b.zmtcdn.com/data/zomato_events/photos/42d/5ff1422e615ed8199844db6c6839342d_1554791652.jpg'],Poila Baishak Special,2019-04-14,2019-04-15
334818,18398880,JW Kitchen - JW Marriott Hotel Kolkata,['https://b.zmtcdn.com/data/zomato_events/photos/cd3/63b861ffce13a6772331351c3d4a7cd3_1554270291.jpeg'],Poila Baishakh Buffet ,2019-04-15,2019-04-15
286422,18259462,Ocean Grill,NA,Customised Party Packages,2018-12-17,2019-04-30
337247,18761167,Echoes Kolkata,['https://b.zmtcdn.com/data/zomato_events/photos/fd4/28cb2e167c37cb93352c8d7ff086ffd4_1554804343.jpg'],Celebrate Poila Boishak with Echoes,2019-04-15,2019-04-15
334922,18751849,Five Mad Men,['https://b.zmtcdn.com/data/zomato_events/photos/ee3/13745a8a0307c436afac7fc4f2cdfee3_1554282159.jpg'],Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
334922,18751849,Five Mad Men,['https://b.zmtcdn.com/data/zomato_events/photos/ee3/13745a8a0307c436afac7fc4f2cdfee3_1554282159.jpg'],Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
334922,18751849,Five Mad Men,['https://b.zmtcdn.com/data/zomato_events/photos/ee3/13745a8a0307c436afac7fc4f2cdfee3_1554282159.jpg'],Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
336898,18392725,Tamasha,['https://b.zmtcdn.com/data/zomato_events/photos/4d5/714bbc76d08697beb0a92b7a164f04d5_1554727292.jpg'],Zulfi Performing Live,2019-04-12,2019-04-13
336898,18392725,Tamasha,['https://b.zmtcdn.com/data/zomato_events/photos/4d5/714bbc76d08697beb0a92b7a164f04d5_1554727292.jpg'],Zulfi Performing Live,2019-04-12,2019-04-13
298104,18701052,The Fusion Kitchen,['https://b.zmtcdn.com/data/zomato_events/photos/e3b/f4ff3f0587a19faae36ab04fa1c2ce3b_1550491642.jpg'],HAPPY HOURS 1+1 ,2019-03-15,2019-04-30
336881,18566818,JLWA,['https://b.zmtcdn.com/data/zomato_events/photos/ee5/3136ce776bb5713020dc50098b29bee5_1554725717.jpg'],Juggy & Band Live,2019-04-10,2019-04-11
318235,48851,Rude Lounge,['https://b.zmtcdn.com/data/zomato_events/photos/4d5/13623423b8a28744a3d0fdbeee5754d5_1551098744.jpg'],Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
337023,18205932,The Cult - Peninsula Grand Hotel,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg'],Sunday Night ,2019-04-14,2019-04-15
337023,18205932,The Cult - Peninsula Grand Hotel,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg'],Sunday Night ,2019-04-14,2019-04-15
337023,18205932,The Cult - Peninsula Grand Hotel,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg'],Sunday Night ,2019-04-14,2019-04-15
337023,18205932,The Cult - Peninsula Grand Hotel,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg'],Sunday Night ,2019-04-14,2019-04-15
337023,18205932,The Cult - Peninsula Grand Hotel,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg'],Sunday Night ,2019-04-14,2019-04-15
337023,18205932,The Cult - Peninsula Grand Hotel,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg'],Sunday Night ,2019-04-14,2019-04-15
337023,18205932,The Cult - Peninsula Grand Hotel,['https://b.zmtcdn.com/data/zomato_events/photos/667/b3386da080734d28b323598100093667_1554751324.jpg'],Sunday Night ,2019-04-14,2019-04-15
336279,18580259,Coffee Culture,NA,"Stand Up Comedy @ Coffee Culture, Bandra On Every Thursday !",2019-04-18,2019-04-18
336279,18580259,Coffee Culture,NA,"Stand Up Comedy @ Coffee Culture, Bandra On Every Thursday !",2019-04-18,2019-04-18
309090,18397684,Craftbar,NA,Wednesday Angel's Night ,2019-02-20,2019-04-30
309090,18397684,Craftbar,NA,Wednesday Angel's Night ,2019-02-20,2019-04-30
309090,18397684,Craftbar,NA,Wednesday Angel's Night ,2019-02-20,2019-04-30
309090,18397684,Craftbar,NA,Wednesday Angel's Night ,2019-02-20,2019-04-30
310712,18691230,Grandmama's Café,"['https://b.zmtcdn.com/data/zomato_events/photos/224/073b2cdc488f5565aabd131ca39ae224_1549624365.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/c48/f8772a9be9d75ff3185fc8c64a6e5c48_1549624365.jpeg']",Grandmama's Burger Shake & Fries Combo,2019-02-09,2019-04-20
279297,18706428,Byg Brewski Brewing Company,"['https://b.zmtcdn.com/data/zomato_events/photos/580/3acad326494a417b48055743f9055580_1543487035.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/772/15222094e057ed9df3c0aa909bfe1772_1543512498.jpg']",Byg Spirited Labels,2018-11-29,2019-04-30
332383,18871246,ShakesBierre,['https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg'],STANDUPCOMEDY,2019-03-28,2019-04-30
332383,18871246,ShakesBierre,['https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg'],STANDUPCOMEDY,2019-03-28,2019-04-30
332383,18871246,ShakesBierre,['https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg'],STANDUPCOMEDY,2019-03-28,2019-04-30
332383,18871246,ShakesBierre,['https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg'],STANDUPCOMEDY,2019-03-28,2019-04-30
332383,18871246,ShakesBierre,['https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg'],STANDUPCOMEDY,2019-03-28,2019-04-30
332383,18871246,ShakesBierre,['https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg'],STANDUPCOMEDY,2019-03-28,2019-04-30
335989,18772094,Bombay Adda,['https://b.zmtcdn.com/data/zomato_events/photos/daf/f8880703cde05ef2d9a60c58fef8edaf_1554471175.jpg'],Unplugged Night Ft. Saher,2019-04-14,2019-04-15
335989,18772094,Bombay Adda,['https://b.zmtcdn.com/data/zomato_events/photos/daf/f8880703cde05ef2d9a60c58fef8edaf_1554471175.jpg'],Unplugged Night Ft. Saher,2019-04-14,2019-04-15
335989,18772094,Bombay Adda,['https://b.zmtcdn.com/data/zomato_events/photos/daf/f8880703cde05ef2d9a60c58fef8edaf_1554471175.jpg'],Unplugged Night Ft. Saher,2019-04-14,2019-04-15
335989,18772094,Bombay Adda,['https://b.zmtcdn.com/data/zomato_events/photos/daf/f8880703cde05ef2d9a60c58fef8edaf_1554471175.jpg'],Unplugged Night Ft. Saher,2019-04-14,2019-04-15
334210,18387426,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/763/823547a36ed40f9b4bec7ab5f4b25763_1554190858.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/e0f/c8fc6c14e15bcaf40df8d2d659ac6e0f_1554190859.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/b90/c9bfdf963ccaa51502938e28f4ba1b90_1554190859.jpeg']",Cocktails and Mocktails offers at Black Pearl ,2019-04-02,2020-03-31
334210,18387426,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/763/823547a36ed40f9b4bec7ab5f4b25763_1554190858.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/e0f/c8fc6c14e15bcaf40df8d2d659ac6e0f_1554190859.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/b90/c9bfdf963ccaa51502938e28f4ba1b90_1554190859.jpeg']",Cocktails and Mocktails offers at Black Pearl ,2019-04-02,2020-03-31
334210,18387426,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/763/823547a36ed40f9b4bec7ab5f4b25763_1554190858.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/e0f/c8fc6c14e15bcaf40df8d2d659ac6e0f_1554190859.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/b90/c9bfdf963ccaa51502938e28f4ba1b90_1554190859.jpeg']",Cocktails and Mocktails offers at Black Pearl ,2019-04-02,2020-03-31
336932,54162,The Black Pearl,['https://b.zmtcdn.com/data/zomato_events/photos/359/40bdc0c46472fe6eeb756f47fce01359_1554730726.jpeg'],Sunday Specials at The Black Pearl,2019-04-08,2020-03-31
336932,54162,The Black Pearl,['https://b.zmtcdn.com/data/zomato_events/photos/359/40bdc0c46472fe6eeb756f47fce01359_1554730726.jpeg'],Sunday Specials at The Black Pearl,2019-04-08,2020-03-31
336932,54162,The Black Pearl,['https://b.zmtcdn.com/data/zomato_events/photos/359/40bdc0c46472fe6eeb756f47fce01359_1554730726.jpeg'],Sunday Specials at The Black Pearl,2019-04-08,2020-03-31
336932,54162,The Black Pearl,['https://b.zmtcdn.com/data/zomato_events/photos/359/40bdc0c46472fe6eeb756f47fce01359_1554730726.jpeg'],Sunday Specials at The Black Pearl,2019-04-08,2020-03-31
336932,54162,The Black Pearl,['https://b.zmtcdn.com/data/zomato_events/photos/359/40bdc0c46472fe6eeb756f47fce01359_1554730726.jpeg'],Sunday Specials at The Black Pearl,2019-04-08,2020-03-31
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
264218,18595782,The Pallet,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg'],Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
337463,18537585,The Reservoire,['https://b.zmtcdn.com/data/zomato_events/photos/587/e83c2132c75013e76d5fd7121314d587_1554827399.jpg'],SUNDAY TIKI BRUNCH,2019-04-09,2019-06-09
337463,18537585,The Reservoire,['https://b.zmtcdn.com/data/zomato_events/photos/587/e83c2132c75013e76d5fd7121314d587_1554827399.jpg'],SUNDAY TIKI BRUNCH,2019-04-09,2019-06-09
337463,18537585,The Reservoire,['https://b.zmtcdn.com/data/zomato_events/photos/587/e83c2132c75013e76d5fd7121314d587_1554827399.jpg'],SUNDAY TIKI BRUNCH,2019-04-09,2019-06-09
315874,18709627,Simon Says Brew Works,['https://b.zmtcdn.com/data/zomato_events/photos/278/bb1e372263762c810a7c220d732bd278_1550569902.jpg'],Bollywood Night with DJ Oppozit,2019-03-28,2019-04-26
315874,18709627,Simon Says Brew Works,['https://b.zmtcdn.com/data/zomato_events/photos/278/bb1e372263762c810a7c220d732bd278_1550569902.jpg'],Bollywood Night with DJ Oppozit,2019-03-28,2019-04-26
315874,18709627,Simon Says Brew Works,['https://b.zmtcdn.com/data/zomato_events/photos/278/bb1e372263762c810a7c220d732bd278_1550569902.jpg'],Bollywood Night with DJ Oppozit,2019-03-28,2019-04-26
315874,18709627,Simon Says Brew Works,['https://b.zmtcdn.com/data/zomato_events/photos/278/bb1e372263762c810a7c220d732bd278_1550569902.jpg'],Bollywood Night with DJ Oppozit,2019-03-28,2019-04-26
315874,18709627,Simon Says Brew Works,['https://b.zmtcdn.com/data/zomato_events/photos/278/bb1e372263762c810a7c220d732bd278_1550569902.jpg'],Bollywood Night with DJ Oppozit,2019-03-28,2019-04-26
314958,18727906,XOOX Brewmill,['https://b.zmtcdn.com/data/zomato_events/photos/2e1/cb5585c6669f8456c20af9f12eabb2e1_1552052914.jpg'],Unlimited Sparkling Wine Brunch !,2019-04-13,2019-04-30
314958,18727906,XOOX Brewmill,['https://b.zmtcdn.com/data/zomato_events/photos/2e1/cb5585c6669f8456c20af9f12eabb2e1_1552052914.jpg'],Unlimited Sparkling Wine Brunch !,2019-04-13,2019-04-30
314958,18727906,XOOX Brewmill,['https://b.zmtcdn.com/data/zomato_events/photos/2e1/cb5585c6669f8456c20af9f12eabb2e1_1552052914.jpg'],Unlimited Sparkling Wine Brunch !,2019-04-13,2019-04-30
314958,18727906,XOOX Brewmill,['https://b.zmtcdn.com/data/zomato_events/photos/2e1/cb5585c6669f8456c20af9f12eabb2e1_1552052914.jpg'],Unlimited Sparkling Wine Brunch !,2019-04-13,2019-04-30
337514,18880433,BeHive,['https://b.zmtcdn.com/data/zomato_events/photos/7cd/349ff41efcc982b82ad889684803a7cd_1554865907.jpg'],"queen bees , ladies night",2019-04-10,2019-04-10
337015,6508166,Flying Duck Co.,['https://b.zmtcdn.com/data/zomato_events/photos/0f1/62519986315c982e1bd127af1e5af0f1_1553061040.jpg'],Girls Night Out,2019-04-10,2019-04-10
337015,6508166,Flying Duck Co.,['https://b.zmtcdn.com/data/zomato_events/photos/0f1/62519986315c982e1bd127af1e5af0f1_1553061040.jpg'],Girls Night Out,2019-04-10,2019-04-10
332959,18784250,Universal Barbeque,['https://b.zmtcdn.com/data/zomato_events/photos/335/a6598b1e960e98d9447d4e03c06cc335_1553873543.jpeg'],FAMILY OFFER,2019-03-29,2019-04-30
329559,18740139,Grandmama's Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/ce7/f68ca85fd4194e229684269af3748ce7_1553259518.jpg'],Grandma's Quiz Night! ,2019-04-11,2019-04-11
336867,18417624,The Sassy Spoon,NA,A Night to Remember ,2019-04-08,2019-12-31
336867,18417624,The Sassy Spoon,NA,A Night to Remember ,2019-04-08,2019-12-31
336718,18621437,The FML Lounge,['https://b.zmtcdn.com/data/zomato_events/photos/308/c3b32cf4f0840253801ff0c01e6fa308_1554714758.jpg'],HAPPY DAYS 1+1,2019-04-08,2019-05-31
